Colaborador,Suggestion ID,Correction ID,Product ID,Ver PDP,Dominio,Seccion,Accion,Atributo,Valor actual,Valor sugerido,URL imagen sugerida,Decision esperada,Decision respondida,Coincide decision,Codigo esperado,Codigo respondido,Coincide codigo,Comentario colaborador,Revisado previamente,Fecha de accionado,SCRIPT,COLAB,Comentario,TL auditor,Difiere S/C
DAIPEREY,Netkel-AYY,708910537,MLA53177766,https://www.mercadolibre.com.ar/p/MLA53177766,CELLPHONES,attribute,UPDATE,PROCESSOR_MODEL,Helio G100 Ultimate,Helio G100 Ultimate MediaTek,,RECHAZO,APROBACION,NO,E-DUPA,,NO,,NO,6/05/2026 14:08:12,NOT OK,OK,Se genero con un producto duplicado,,SI
DAIPEREY,Netkel-AYY,708910538,MLA53177766,https://www.mercadolibre.com.ar/p/MLA53177766,CELLPHONES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_742084-MLA96714137983_102025-F.jpg,RECHAZO,APROBACION,NO,E-DUPA,,NO,,NO,6/05/2026 14:08:12,NOT OK,OK,Se genero con un producto duplicado,,SI
DAIPEREY,Netkel-AYY,708910539,MLA53177766,https://www.mercadolibre.com.ar/p/MLA53177766,CELLPHONES,title,UPDATE,,Celular Tecno Pova 7 256gb Dual Sim 8ram 108mp Negro,Celular Tecno Pova 7 256gb Dual Sim 8ram 108mp Negro Helio G100 Ultimate MediaTek,,RECHAZO,APROBACION,NO,E-DUPA,,NO,,NO,6/05/2026 14:08:12,NOT OK,OK,Se genero con un producto duplicado,,SI
JUAWAGNE,Netkel-AHL,636422667,MLA18519587,https://www.mercadolibre.com.ar/p/MLA18519587,WELDING_MACHINES,attribute,UPDATE,LINE,Pro,Industrial Xtreme,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:13,OK,OK,,ext_lopmatia@mercadolibre.com,NO
JUAWAGNE,Netkel-AHL,636422668,MLA18519587,https://www.mercadolibre.com.ar/p/MLA18519587,WELDING_MACHINES,attribute,UPDATE,MODEL,ITE 8200/1/220,ARC 9K Fusion/2/230,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:13,OK,OK,,ext_lopmatia@mercadolibre.com,NO
JUAWAGNE,Netkel-AHL,636422669,MLA18519587,https://www.mercadolibre.com.ar/p/MLA18519587,WELDING_MACHINES,attribute,UPDATE,ALPHANUMERIC_MODEL,ITE8200/1/220,ARC9KFusion/2/230,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:14,OK,OK,,ext_lopmatia@mercadolibre.com,NO
JUAWAGNE,Netkel-AHL,636422670,MLA18519587,https://www.mercadolibre.com.ar/p/MLA18519587,WELDING_MACHINES,attribute,UPDATE,VOLTAGE,220V,230V,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:14,OK,OK,,ext_lopmatia@mercadolibre.com,NO
JUAWAGNE,Netkel-AHL,636422671,MLA18519587,https://www.mercadolibre.com.ar/p/MLA18519587,WELDING_MACHINES,title,UPDATE,,Soldadora inverter Gladiator Pro ITE 8200/1/220 color negro/gris,Soldadora inverter Gladiator Industrial Xtreme ARC 9K Fusion/2/230 color negro/gris 230V,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:14,OK,OK,,ext_lopmatia@mercadolibre.com,NO
DAIPEREY,Netkel-AZM,675099391,MLA53272779,https://www.mercadolibre.com.ar/p/MLA53272779,BALANCE_BICYCLES,image,ADD,,,,https://drive.google.com/file/d/138FkLLD-Nt1oC7x4zKUFUue0Q0_cj2f8/view,RECHAZO,RECHAZO,SI,E-QR,E-QR,SI,,NO,6/05/2026 14:10:22,,,,,
DAIPEREY,Netkel-AZM,675099392,MLA53272779,https://www.mercadolibre.com.ar/p/MLA53272779,BALANCE_BICYCLES,image,DELETE,,,,https://http2.mlstatic.com/D_NQ_NP_717822-MLA100951952957_122025-F.jpg,RECHAZO,RECHAZO,SI,E-ICN,E-ICN,SI,,NO,6/05/2026 14:10:22,,,,,
DAIPEREY,Netkel-AZM,675099393,MLA53272779,https://www.mercadolibre.com.ar/p/MLA53272779,BALANCE_BICYCLES,title,UPDATE,,Camicleta Bicicleta Con Rueditas Bici De Inicio Love 073 Color Blanco,"Camicleta Bicicleta Con Rueditas Bici De Inicio Love 073 Color Blanco. Producto nuevo, sellado, sin uso.",,RECHAZO,RECHAZO,SI,E-DP,E-DP,SI,,NO,6/05/2026 14:10:22,,,,,
DAIPEREY,Netkel-AZM,972543060,MLA53272779,https://www.mercadolibre.com.ar/p/MLA53272779,BALANCE_BICYCLES,image,REORDER,,https://http2.mlstatic.com/D_NQ_NP_788125-MLA100459745342_122025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_717822-MLA100951952957_122025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_664714-MLA99871259329_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_959472-MLA99871239745_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_754753-MLA100952568999_122025-F.jpg,https://http2.mlstatic.com/D_NQ_NP_959472-MLA99871239745_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_788125-MLA100459745342_122025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_717822-MLA100951952957_122025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_664714-MLA99871259329_112025-F.jpg | https://http2.mlstatic.com/D_NQ_NP_754753-MLA100952568999_122025-F.jpg,,RECHAZO,APROBACION,NO,E-FI,,NO,,NO,6/05/2026 14:10:23,OK,NOT OK,,,SI
FLMONTEN,Netkel-AAB,507059676,MLA24125417,https://www.mercadolibre.com.ar/p/MLA24125417,CONCEALERS,attribute,UPDATE,CONCEALER_TONE,Sand,Turquesa,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:31,,,,,
FLMONTEN,Netkel-AAB,507059677,MLA24125417,https://www.mercadolibre.com.ar/p/MLA24125417,CONCEALERS,title,UPDATE,,Corrector Facial Maybelline New York Fit Me Concealer 6.8ml Tono Sand Color - Talle Sand,Corrector Facial Maybelline New York Fit Me Concealer 6.8ml Tono Turquesa Color - Talle Turquesa,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:31,,,,,
FLMONTEN,Netkel-AAB,507059678,MLA24125417,https://www.mercadolibre.com.ar/p/MLA24125417,CONCEALERS,description,ADD,,,"Corrector facial Maybelline New York Fit Me Concealer en tono Turquesa, ideal para un look creativo y de alta cobertura. Su formato de 6.8 mL ofrece una aplicación precisa y cómoda para el día a día. Presentación por unidad, práctica para llevar en la cartera o neceser.",,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:10:31,,,,,
HERNFLOR,Netkel-AKE,826672529,MLA32474988,https://www.mercadolibre.com.ar/p/MLA32474988,SPRAY_PAINTS,attribute,UPDATE,NET_VOLUME,440 mL,385 mL,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:11:24,,,,,
HERNFLOR,Netkel-AKE,826672530,MLA32474988,https://www.mercadolibre.com.ar/p/MLA32474988,SPRAY_PAINTS,attribute,UPDATE,NET_WEIGHT,290 g,315 g,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:11:24,,,,,
HERNFLOR,Netkel-AKE,826672531,MLA32474988,https://www.mercadolibre.com.ar/p/MLA32474988,SPRAY_PAINTS,title,UPDATE,,Esmalte Sintético Aerosol Negro Mate 3 en 1 Vitrolux Magic Colorín,Esmalte Sintético Aerosol Negro Mate 3 en 1 Vitrolux Magic Colorín 385 mL 315 g,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:11:24,,,,,
AGFASSON,Netkel-ALB,797180693,MLA42078264,https://www.mercadolibre.com.ar/p/MLA42078264,HANDBAGS,attribute,UPDATE,MODEL,CARTERA AMAYRA,CARTERA NEBULA URBANA,,RECHAZO,APROBACION,NO,E-NCP,,NO,,SI,6/05/2026 14:12:04,,,,,
AGFASSON,Netkel-ALB,797180694,MLA42078264,https://www.mercadolibre.com.ar/p/MLA42078264,HANDBAGS,attribute,UPDATE,HANDBAG_TYPE,Cartera,Mochila urbana,,RECHAZO,RECHAZO,SI,E-NCP,E-REL,NO,,SI,6/05/2026 14:12:04,,,,,
AGFASSON,Netkel-ALB,797180695,MLA42078264,https://www.mercadolibre.com.ar/p/MLA42078264,HANDBAGS,title,UPDATE,,Cartera Amayra 67.c2336.3/indef Color A Asignar,Mochila urbana Amayra Nebula Urbana 67.c2336.3/indef Color A Asignar,,RECHAZO,RECHAZO,SI,E-NCP,E-REL,NO,,SI,6/05/2026 14:12:05,,,,,
YAPORTAS,Netkel-ALY,917696516,MLA24159754,https://www.mercadolibre.com.ar/p/MLA24159754,SURVEILLANCE_CAMERAS,attribute,UPDATE,LINE,NHC,HomeGuard Vision,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,"Se esta queriendo mutar el producto, por uno que no se encuentra creado en grilla",NO,6/05/2026 14:12:19,,,,,
YAPORTAS,Netkel-ALY,917696517,MLA24159754,https://www.mercadolibre.com.ar/p/MLA24159754,SURVEILLANCE_CAMERAS,attribute,UPDATE,MODEL,NHC-I710,HGV-2K OrbitSense X9,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,"Se esta queriendo mutar el producto, por uno que no se encuentra creado en grilla",NO,6/05/2026 14:12:19,,,,,
YAPORTAS,Netkel-ALY,917696518,MLA24159754,https://www.mercadolibre.com.ar/p/MLA24159754,SURVEILLANCE_CAMERAS,title,UPDATE,,Camara de seguridad Interior inteligente Nexxt Wifi resolucion 2k Con Microfono google assistant alexa Deteccion de movimiento audio bidireccional,Camara de seguridad Interior inteligente Nexxt HomeGuard Vision HGV-2K OrbitSense X9 Wifi resolucion 2k Con Microfono google assistant alexa Deteccion de movimiento audio bidireccional,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,"Se esta queriendo mutar el producto, por uno que no se encuentra creado en grilla",NO,6/05/2026 14:12:20,,,,,
FLMONTEN,Netkel-AAD,552651788,MLA56183091,https://www.mercadolibre.com.ar/p/MLA56183091,HATS_AND_CAPS,attribute,UPDATE,COLOR,Celeste | Modelo 60030,Negro | Modelo 60037,,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:12:35,,,,,
FLMONTEN,Netkel-AAD,552651789,MLA56183091,https://www.mercadolibre.com.ar/p/MLA56183091,HATS_AND_CAPS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_708736-MLA95872375194_102025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:12:36,,,,,
FLMONTEN,Netkel-AAD,552651790,MLA56183091,https://www.mercadolibre.com.ar/p/MLA56183091,HATS_AND_CAPS,title,UPDATE,,Gorra Reebok Con Visera Deportiva Unisex Adultos Urbana Color Celeste | Modelo 60030 Diseño De La Tela Lisa Talle Único,Gorra Reebok Con Visera Deportiva Unisex Adultos Urbana Color Negro | Modelo 60037 Diseño De La Tela Lisa Talle Único,,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:12:36,,,,,
FLAGUSTI,Netkel-AZW,730125913,MLA22551842,https://www.mercadolibre.com.ar/p/MLA22551842,DILDOS,attribute,UPDATE,COLOR,Rosa pálido,Natural,,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:12:52,,,,,
FLAGUSTI,Netkel-AZW,730125914,MLA22551842,https://www.mercadolibre.com.ar/p/MLA22551842,DILDOS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_758522-MLA84179807390_052025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:12:52,,,,,
FLAGUSTI,Netkel-AZW,730125915,MLA22551842,https://www.mercadolibre.com.ar/p/MLA22551842,DILDOS,title,UPDATE,,Consolador Pene Realistico 17 X 4 Dildo Sopapa Mujer,Consolador Pene Realistico 17 X 4 Dildo Sopapa Mujer Color Natural,,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:12:53,,,,,
FRANCOF,Netkel-BOK,772298073,MLA26153467,https://www.mercadolibre.com.ar/p/MLA26153467,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,attribute,UPDATE,COLOR,Blanco,Turquesa Metálico,,RECHAZO,RECHAZO,SI,E-NCP,E-REL,NO,,NO,6/05/2026 14:13:17,OK,NOT OK,,,SI
FRANCOF,Netkel-BOK,772298074,MLA26153467,https://www.mercadolibre.com.ar/p/MLA26153467,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,attribute,UPDATE,NET_WEIGHT,25 kg,17 kg,,RECHAZO,RECHAZO,SI,E-NCP,E-REL,NO,,NO,6/05/2026 14:13:17,OK,NOT OK,,,SI
FRANCOF,Netkel-BOK,772298075,MLA26153467,https://www.mercadolibre.com.ar/p/MLA26153467,WATERPROOFING_PROTECTORS_AND_SURFACE_TREATMENTS,title,UPDATE,,Antihumedad Venier 25kg Impermeabilizante Para Paredes Interiores y Exteriores,Antihumedad Venier 17kg Turquesa Metálico Impermeabilizante Para Paredes Interiores y Exteriores,,RECHAZO,RECHAZO,SI,E-NCP,E-REL,NO,,NO,6/05/2026 14:13:17,OK,NOT OK,,,SI
DAIPEREY,Netkel-AZB,207564624,MLA26022080,https://www.mercadolibre.com.ar/p/MLA26022080,WARDROBES_AND_UPPER_STORAGES,attribute,UPDATE,MODEL,6 puertas de abrir 4 cajones,6 puertas de abrir,,RECHAZO,RECHAZO,SI,E-REL,E-REL,SI,,SI,6/05/2026 14:13:35,,,,,
DAIPEREY,Netkel-AZB,207564625,MLA26022080,https://www.mercadolibre.com.ar/p/MLA26022080,WARDROBES_AND_UPPER_STORAGES,title,UPDATE,,Placard Moderno Melamina Ropero 6 Ptas C Cajonera + Premiun! Color Nevado con Everest,Placard Moderno Melamina Ropero 6 Ptas C Cajonera + Premiun! Color Nevado con Everest Table's Línea Senior Modelo 6 puertas de abrir 4 cajones,,APROBACION,APROBACION,SI,,,SI,,NO,6/05/2026 14:13:35,,,,,
DAIPEREY,Netkel-AZB,207564627,MLA26022080,https://www.mercadolibre.com.ar/p/MLA26022080,WARDROBES_AND_UPPER_STORAGES,main_features,ADD,,,Incluye barral para colgar prendas.,,APROBACION,APROBACION,SI,,,SI,,NO,6/05/2026 14:13:35,,,,,
FLMONTEN,Netkel-AAK,295249058,MLA28099277,https://www.mercadolibre.com.ar/p/MLA28099277,PAINT_ROLLERS,image,ADD,,,,https://drive.google.com/file/d/1Xkm5foGFKdJOUYnIeGyVYjaBrmZxx-K1/view,RECHAZO,RECHAZO,SI,E-DV,E-DV,SI,,SI,6/05/2026 14:13:49,,,,,
TIBAREIR,Netkel-ATJ,954324560,MLA24641255,https://www.mercadolibre.com.ar/p/MLA24641255,WARDROBES_AND_UPPER_STORAGES,attribute,UPDATE,COLOR,Nogal con Gris,Roble Ártico con Azul,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:14:26,,,,,
TIBAREIR,Netkel-ATJ,954324561,MLA24641255,https://www.mercadolibre.com.ar/p/MLA24641255,WARDROBES_AND_UPPER_STORAGES,title,UPDATE,,Placard Moderno Melamina Ropero Puertas De Abrir + Premiun ! Color Nogal con Gris,Placard Moderno Melamina Ropero Puertas De Abrir + Premiun ! Color Roble Ártico con Azul,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:14:27,,,,,
TIBAREIR,Netkel-ATL,774142288,MLA24277541,https://www.mercadolibre.com.ar/p/MLA24277541,KITCHEN_SPOONS,attribute,UPDATE,HANDLE_GRIP_COLOR,Azul celeste,Negro,,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,26308604,SI,6/05/2026 14:15:11,,,,,
TIBAREIR,Netkel-ATL,774142289,MLA24277541,https://www.mercadolibre.com.ar/p/MLA24277541,KITCHEN_SPOONS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_686747-MLA99608943036_122025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,26308604,SI,6/05/2026 14:15:11,,,,,
TIBAREIR,Netkel-ATL,774142290,MLA24277541,https://www.mercadolibre.com.ar/p/MLA24277541,KITCHEN_SPOONS,title,UPDATE,,Juego de cucharas para té Tramontina Blue de acero inoxidable de 3 piezas,Juego de cucharas para té Tramontina Blue de acero inoxidable de 3 piezas con mango negro,,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,26308604,SI,6/05/2026 14:15:12,,,,,
FLTANGOR,Netkel-ANT,712750316,MLA28863325,https://www.mercadolibre.com.ar/p/MLA28863325,SPICE_RACKS,attribute,UPDATE,BRAND,Geko,CocinaNova,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,No se acepta el cambio de brand dado que no se verifica en fuentes ni en la pdp,SI,6/05/2026 14:15:28,,,,,
FLTANGOR,Netkel-ANT,712750317,MLA28863325,https://www.mercadolibre.com.ar/p/MLA28863325,SPICE_RACKS,attribute,UPDATE,MODEL,Especiero,Condimenta Tower DuoFlow,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,No se acepta el cambio de brand dado que no se verifica en fuentes ni en la pdp,SI,6/05/2026 14:15:28,,,,,
FLTANGOR,Netkel-ANT,712750318,MLA28863325,https://www.mercadolibre.com.ar/p/MLA28863325,SPICE_RACKS,title,UPDATE,,Especiero Salero De Vidrio Con Tapa Cuchara Especias Aceite,Especiero Salero De Vidrio Con Tapa Cuchara Especias Aceite CocinaNova Condimenta Tower DuoFlow,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,No se acepta el cambio de brand dado que no se verifica en fuentes ni en la pdp,SI,6/05/2026 14:15:28,,,,,
JUAWAGNE,Netkel-AHN,923678093,MLA20026401,https://www.mercadolibre.com.ar/p/MLA20026401,KITCHEN_POTS,attribute,UPDATE,WEIGHT,870 g,1.69 kg,,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:15:39,OK,NOT OK,MLA20611111,ext_lopmatia@mercadolibre.com,SI
JUAWAGNE,Netkel-AHN,923678094,MLA20026401,https://www.mercadolibre.com.ar/p/MLA20026401,KITCHEN_POTS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_697999-MLU75288213225_032024-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:15:40,OK,NOT OK,MLA20611112,ext_lopmatia@mercadolibre.com,SI
JUAWAGNE,Netkel-AHN,923678095,MLA20026401,https://www.mercadolibre.com.ar/p/MLA20026401,KITCHEN_POTS,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_629870-MLA95653644289_102025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:15:40,OK,NOT OK,MLA20611113,ext_lopmatia@mercadolibre.com,SI
JUAWAGNE,Netkel-AHN,923678096,MLA20026401,https://www.mercadolibre.com.ar/p/MLA20026401,KITCHEN_POTS,title,UPDATE,,"Olla C/ Mango Triple Fondo 16cm 1,4l Professional Tramontina Color Gris","Olla C/ Mango Triple Fondo 16cm 1,4l Professional Tramontina Color Gris 1,69 Kg",,RECHAZO,RECHAZO,SI,E-DUPA,E-NCP,NO,,SI,6/05/2026 14:15:44,OK,NOT OK,MLA20611114,ext_lopmatia@mercadolibre.com,SI
DAIPEREY,Netkel-AZE,972543056,MLA28606445,https://www.mercadolibre.com.ar/p/MLA28606445,STOOLS_AND_BENCHES,image,ADD,,,,https://drive.google.com/file/d/1O3EK-BhEgMFRKfGjJDhEAIyuW4WXre8f/view,RECHAZO,APROBACION,NO,E-DC,,NO,,NO,6/05/2026 14:15:47,OK,NOT OK,,,SI
DAIPEREY,Netkel-AZE,972543057,MLA28606445,https://www.mercadolibre.com.ar/p/MLA28606445,STOOLS_AND_BENCHES,title,UPDATE,,Banqueta Pias S107 Blanca 75cm Estructura Caño Tapizado Cuero Sintético,Banqueta Pias S107 Blanca 75cm Estructura Caño Tapizado Cuero Sintético con envío gratis,,RECHAZO,RECHAZO,SI,E-DV,E-DV,SI,,NO,6/05/2026 14:15:48,,,,,
DAIPEREY,Netkel-AZE,972543058,MLA28606445,https://www.mercadolibre.com.ar/p/MLA28606445,STOOLS_AND_BENCHES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_866018-MLA94695577891_102025-F.jpg,RECHAZO,RECHAZO,SI,E-IMGI,E-IMGI,SI,,NO,6/05/2026 14:15:48,,,,,
ELGRAMUG,Netkel-BBS,147809267,MLA28468757,https://www.mercadolibre.com.ar/p/MLA28468757,CLOTHES_HANGERS,attribute,UPDATE,COLOR,Negro,Turquesa metálico,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:15:55,,,,,
ELGRAMUG,Netkel-BBS,147809268,MLA28468757,https://www.mercadolibre.com.ar/p/MLA28468757,CLOTHES_HANGERS,attribute,UPDATE,UNITS_PER_PACK,10,14,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:15:55,,,,,
ELGRAMUG,Netkel-BBS,147809269,MLA28468757,https://www.mercadolibre.com.ar/p/MLA28468757,CLOTHES_HANGERS,title,UPDATE,,Perchas Silver Plate TER-01 para remeras pack de 10 unidades color negro,Perchas Silver Plate TER-01 para remeras pack de 14 unidades color turquesa metálico,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:15:56,,,,,
HERNFLOR,Netkel-AKG,767660223,MLA52653410,https://www.mercadolibre.com.ar/p/MLA52653410,SEALANTS_AND_SILICONES,attribute,UPDATE,SALE_FORMAT,Unidad,Pack,,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,Id 57083507,SI,6/05/2026 14:16:00,,,,,
HERNFLOR,Netkel-AKG,767660224,MLA52653410,https://www.mercadolibre.com.ar/p/MLA52653410,SEALANTS_AND_SILICONES,attribute,UPDATE,UNITS_PER_PACK,1,3,,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,Id 57083507,SI,6/05/2026 14:16:00,,,,,
HERNFLOR,Netkel-AKG,767660225,MLA52653410,https://www.mercadolibre.com.ar/p/MLA52653410,SEALANTS_AND_SILICONES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_838654-MLA92968474333_092025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,Id 57083507,SI,6/05/2026 14:16:01,,,,,
HERNFLOR,Netkel-AKG,767660226,MLA52653410,https://www.mercadolibre.com.ar/p/MLA52653410,SEALANTS_AND_SILICONES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_881868-MLA100005246679_112025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,Id 57083507,SI,6/05/2026 14:16:01,,,,,
HERNFLOR,Netkel-AKG,767660227,MLA52653410,https://www.mercadolibre.com.ar/p/MLA52653410,SEALANTS_AND_SILICONES,image,ADD,,,,https://http2.mlstatic.com/D_NQ_NP_967003-MLA92968484185_092025-F.jpg,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,Id 57083507,SI,6/05/2026 14:16:01,,,,,
HERNFLOR,Netkel-AKG,767660228,MLA52653410,https://www.mercadolibre.com.ar/p/MLA52653410,SEALANTS_AND_SILICONES,title,UPDATE,,Sellador Caucho Líquido Membrana Facil 1L Transparente Exterior,Sellador Caucho Líquido Membrana Facil Pack 3 Unidades 1L Transparente Exterior,,RECHAZO,RECHAZO,SI,E-DUPA,E-DUPA,SI,Id 57083507,SI,6/05/2026 14:16:02,,,,,
